,Name,Lat,Long,Rating,Price_Level,Place_ID,grid,counts,bur,percent,scaled
91,Uncle Boons,40.7212894,-73.994373,4.6,2.0,ChIJ5dgFHIZZwokRlGU38pcvZdU,"(211, 194)",630,Manhattan,0.69560224801,0.69560224801
92,HIROHISA,40.7245498,-74.0030422,4.7,3.0,ChIJXW6IXYxZwokR-i9saEWMIBY,"(204, 197)",623,Manhattan,0.687873334143,0.687873334143
93,Dominique Ansel Bakery,40.7252094,-74.002946,4.3,0.0,ChIJP0KOWoxZwokRmvPiQAIaH1A,"(204, 197)",623,Manhattan,0.687873334143,0.687873334143
94,East 12th Osteria,40.7302159,-73.9836842,4.0,3.0,ChIJB2-q_J1ZwokRHq8B3eEfqek,"(219, 201)",620,Manhattan,0.684560942486,0.684560942486
95,Momofuku Noodle Bar,40.7292372,-73.9845058,4.0,2.0,ChIJkXQ3_INZwokRE74ZvG46Jjc,"(219, 200)",618,Manhattan,0.682352681381,0.682352681381
96,All'onda,40.734742,-73.993104,4.0,3.0,ChIJmwCqSZhZwokRaIYiccesPxk,"(212, 205)",614,Manhattan,0.677936159171,0.677936159171
97,Sushi Nakazawa,40.7317831,-74.0045627,4.5,4.0,ChIJsw80F5NZwokRcDtxajLLOeA,"(203, 202)",573,Manhattan,0.632666806523,0.632666806523
98,Tanoshi Sushi Sake Bar,40.767587,-73.952841,4.4,2.0,ChIJd35w0MZYwokR7LgKqfX4tXM,"(244, 231)",569,Manhattan,0.628250284314,0.628250284314
99,Costata,40.7252995,-74.0037037,4.3,4.0,ChIJNefSV4xZwokRBFVvXhX3LUg,"(203, 197)",556,Manhattan,0.613896587132,0.613896587132
100,Charlie Bird,40.7277293,-74.0029058,4.2,2.0,ChIJe_ZBhY1ZwokRGAEwGLWYpA8,"(204, 199)",547,Manhattan,0.603959412161,0.603959412161
101,The Good Fork,40.6759592,-74.0142781,4.4,2.0,ChIJqdPcMIlawokRnjb0RFy_o7s,"(195, 158)",11,Brooklyn,0.602409638554,0.1090920419
102,Auntie Guan's Kitchen 108,40.737369,-73.997611,3.9,0.0,ChIJXTJd1ZdZwokRaFE664a3QJ8,"(208, 207)",536,Manhattan,0.591813976085,0.591813976085
103,The Gander,40.7391344,-73.9928421,4.2,2.0,ChIJYVIU4qJZwokRyihNfZyNO1I,"(212, 208)",508,Manhattan,0.560898320617,0.560898320617
104,Father Knows Best,40.6901735,-73.9069755,4.2,0.0,ChIJwZHjAzxcwokROh4zFWUlWlE,"(280, 169)",10,Brooklyn,0.547645125958,0.0991745835452
105,The Hamilton,40.8027674,-73.9644004,4.3,0.0,ChIJcQDwuzz2wokR1N2euVBPAjM,"(235, 259)",488,Manhattan,0.538815709569,0.538815709569
106,White Street,40.7191375,-74.0060979,4.0,3.0,ChIJfaJ8rIpZwokRlmyfjn3FZ20,"(201, 192)",481,Manhattan,0.531086795703,0.531086795703
107,The Butterfly,40.719213,-74.006064,4.3,2.0,ChIJWVSLropZwokRyRI_tnrkE4s,"(201, 192)",481,Manhattan,0.531086795703,0.531086795703
108,American Cut,40.7191028,-74.0100227,4.5,4.0,ChIJv-a4KB5awokR6TLKvHwGqQE,"(198, 192)",479,Manhattan,0.528878534598,0.528878534598
109,Untamed Sandwiches,40.7526415,-73.9845073,4.5,1.0,ChIJj-icYKpZwokRKdaggxmJUH0,"(219, 219)",470,Manhattan,0.518941359626,0.518941359626
110,Breads Bakery,40.736609,-73.9917735,4.5,2.0,ChIJcWebfphZwokRRrPNZD7byJw,"(213, 206)",468,Manhattan,0.516733098522,0.516733098522
111,Hanjan,40.7442454,-73.9906152,4.1,3.0,ChIJTUF2t6VZwokRy5cs0pSuj74,"(214, 212)",466,Manhattan,0.514524837417,0.514524837417
112,The Iron Horse NYC,40.7081881,-74.0049795,4.1,1.0,ChIJKwU9OD1awokRQIUbiv9EgPM,"(202, 184)",462,Manhattan,0.510108315207,0.510108315207
113,Fedora,40.7345465,-74.0028199,4.2,3.0,ChIJFWthXZRZwokRlr_SqyfeCa4,"(204, 205)",451,Manhattan,0.497962879131,0.497962879131
114,The Marrow,40.7366596,-74.0063594,4.1,3.0,ChIJKSOCLJVZwokRy0ywjKcB4zo,"(201, 206)",444,Manhattan,0.490233965264,0.490233965264
115,Montmartre,40.7420061,-74.0005878,4.4,3.0,ChIJ7YCJp75ZwokRKqW3TfnNLhs,"(206, 210)",441,Manhattan,0.486921573607,0.486921573607
116,Cata,40.722637,-73.9927903,3.9,2.0,ChIJ04Biw4VZwokRjdfhoEHYIYI,"(212, 195)",440,Manhattan,0.485817443054,0.485817443054
117,Wildair,40.7200288,-73.9891537,3.7,2.0,ChIJQf5DyoZZwokRv0KXQOlnyDI,"(215, 193)",429,Manhattan,0.473672006978,0.473672006978
118,Cosme,40.7396162,-73.9883565,4.4,2.0,ChIJT-gYZKFZwokR7O8LLYuYMjU,"(216, 209)",421,Manhattan,0.464838962559,0.464838962559
119,Gabriel Kreuther,40.7545385,-73.9824993,4.4,3.0,ChIJw_TGEwBZwokR-zLts543O-4,"(220, 220)",405,Manhattan,0.447172873721,0.447172873721
120,Pearl & Ash,40.7220137,-73.9937583,4.1,3.0,ChIJTwUiDIZZwokR4m7uqSHRCYg,"(211, 195)",399,Manhattan,0.440548090406,0.440548090406
121,Little Prince,40.7268575,-74.0027225,4.4,3.0,ChIJ5c-evI1ZwokRhHh6FjhuLH8,"(204, 198)",398,Manhattan,0.439443959854,0.439443959854
122,Bar Primi,40.7256715,-73.9917516,4.1,2.0,ChIJSW8U34RZwokR-UhuJkjLDvk,"(213, 197)",396,Manhattan,0.437235698749,0.437235698749
123,L'Apicio,40.724452,-73.9915614,4.0,3.0,ChIJnwL0A4VZwokRta3QoYFJ9CM,"(213, 197)",396,Manhattan,0.437235698749,0.437235698749
