Name,Lat,Long,burs,grid,counts,percent
48 lounge,40.759377,-73.982094,Manhattan,"(221, 224)",26.0,0.103585657371
highline ballroom,40.7431163,-74.0058046,Manhattan,"(202, 211)",27.0,0.107569721116
negro claro,40.7398268,-74.0094322,Manhattan,"(199, 209)",28.0,0.111553784861
sono nyc,40.7329256,-73.9984186,Manhattan,"(208, 203)",29.0,0.115537848606
room 1705,40.778568,-73.948554,Manhattan,"(247, 240)",30.0,0.119521912351
birthday bottle service,40.74727,-73.9800645,Manhattan,"(222, 215)",31.0,0.123505976096
gramercy theater,40.7398869,-73.98494,Manhattan,"(218, 209)",32.0,0.127490039841
suite 36,40.749968,-73.9848,Manhattan,"(218, 217)",32.0,0.127490039841
finale,40.721138,-73.993373,Manhattan,"(212, 194)",33.0,0.131474103586
katra,40.7217003,-73.9931375,Manhattan,"(212, 194)",33.0,0.131474103586
howl at the moon,40.762905,-73.984268,Manhattan,"(219, 227)",35.0,0.139442231076
shoolbred's,40.731391,-73.98603,Manhattan,"(217, 202)",36.0,0.143426294821
copia nyc,40.7567555,-73.9664156,Manhattan,"(233, 222)",36.0,0.143426294821
feinstein's/54 below,40.76432,-73.983802,Manhattan,"(219, 228)",37.0,0.147410358566
fish bar nyc pier 81,40.7579416,-73.9932244,Manhattan,"(212, 223)",37.0,0.147410358566
van diemen's,40.7415213,-73.9808354,Manhattan,"(222, 210)",39.0,0.155378486056
cappello,40.7372498,-74.0006401,Manhattan,"(206, 207)",40.0,0.159362549801
ward iii,40.7157247,-74.0087103,Manhattan,"(199, 190)",41.0,0.163346613546
42 west,40.7562322,-73.9880941,Manhattan,"(216, 222)",41.0,0.163346613546
riff raffs ,40.7421039,-73.9855768,Manhattan,"(218, 211)",43.0,0.171314741036
cantina rooftop,40.765076,-73.995986,Manhattan,"(209, 229)",44.0,0.175298804781
lexicon,40.7576332,-73.9678601,Manhattan,"(232, 223)",44.0,0.175298804781
midtown 1015,40.7571667,-73.9672152,Manhattan,"(232, 223)",44.0,0.175298804781
the immigrant,40.728622,-73.985329,Manhattan,"(218, 200)",45.0,0.179282868526
dancesport ,40.7489371,-73.9864332,Manhattan,"(217, 216)",45.0,0.179282868526
keybar,40.7300334908,-73.9818279024,Manhattan,"(221, 201)",47.0,0.187250996016
st. cloud rooftop nyc,40.7555831,-73.9862701,Manhattan,"(217, 221)",47.0,0.187250996016
the bowery electric,40.7256938,-73.9916801,Manhattan,"(213, 197)",47.0,0.187250996016
pocket bar nyc,40.7633645,-73.9922985,Manhattan,"(212, 228)",48.0,0.191235059761
providence nyc,40.7671917,-73.9833088,Manhattan,"(220, 231)",49.0,0.195219123506
iron horse nyc,40.708137,-74.004943,Manhattan,"(202, 183)",51.0,0.203187250996
the royal,40.7331655,-73.9897102,Manhattan,"(214, 203)",52.0,0.207171314741
nublu,40.722507,-73.979675,Manhattan,"(222, 195)",55.0,0.219123505976
49 grove,40.7330979,-74.0037692,Manhattan,"(203, 203)",55.0,0.219123505976
stellannyc,40.7491072,-73.9845832,Manhattan,"(219, 216)",56.0,0.223107569721
calico jack's cantina,40.7501819,-73.9719162,Manhattan,"(229, 217)",58.0,0.231075697211
mcfadden's saloon,40.7500617,-73.971655,Manhattan,"(229, 217)",58.0,0.231075697211
pinks,40.7287913561,-73.9845903218,Manhattan,"(219, 200)",59.0,0.235059760956
chrystie 141,40.7198043,-73.9933485,Manhattan,"(212, 193)",59.0,0.235059760956
lust ny,40.7597195,-73.9857847,Manhattan,"(218, 225)",62.0,0.247011952191
santos party house,40.7177032,-74.0015316,Manhattan,"(205, 191)",62.0,0.247011952191
bb king,40.7568781,-73.9884067,Manhattan,"(215, 222)",63.0,0.250996015936
liberty theater,40.756044,-73.9889983,Manhattan,"(215, 222)",63.0,0.250996015936
lit nyc,40.7271902,-73.9890688,Manhattan,"(215, 199)",63.0,0.250996015936
"pranna restaurant,bar and lounge",40.7440668,-73.9852222,Manhattan,"(218, 212)",63.0,0.250996015936
sobs,40.7284492,-74.0051241,Manhattan,"(202, 200)",63.0,0.250996015936
space ibiza new york,40.766805,-73.996215,Manhattan,"(209, 230)",64.0,0.254980079681
yotel,40.7591568,-73.9954561,Manhattan,"(210, 224)",64.0,0.254980079681
empire rooftop,40.7713415,-73.9827135,Manhattan,"(220, 234)",66.0,0.262948207171
level r the empire hotel rooftop,40.7713415,-73.9827135,Manhattan,"(220, 234)",66.0,0.262948207171
slate lounge nyc,40.7411752,-73.9932217,Manhattan,"(212, 210)",67.0,0.266932270916
studio 21,40.7415441,-73.9932293,Manhattan,"(212, 210)",67.0,0.266932270916
taj,40.7410469,-73.9929175,Manhattan,"(212, 210)",67.0,0.266932270916
angel's share,40.72985,-73.989168,Manhattan,"(215, 201)",68.0,0.270916334661
hudson terrace,40.7640472,-73.9975615,Manhattan,"(208, 228)",68.0,0.270916334661
