Name,Lat,Long,Rating,Price_Level,Place_ID
Marta,40.7444257,-73.9845714,4.2,2.0,ChIJK0fVw6dZwokRZuF-vAUC4II
M. Wells Steakhouse,40.7485158,-73.9422488,4.1,3.0,ChIJGQFa8SlZwokRjkygUnetCuc
The NoMad Bar,40.7449586,-73.9885113,4.4,2.0,ChIJOwmgDaZZwokRgRmkjt8DbLw
The Simone,40.7768459,-73.9569627,4.3,3.0,ChIJgYdbzr1YwokRueRDWsZY_8w
Take Root,40.6844808,-74.0002063,,4.0,ChIJjws981tawokReBaOOq2wcuA
Untamed Sandwiches,40.7526415,-73.9845073,4.5,1.0,ChIJj-icYKpZwokRKdaggxmJUH0
White Street,40.7191375,-74.0060979,4.0,3.0,ChIJfaJ8rIpZwokRlmyfjn3FZ20
The Warren,40.7330818,-74.006807,,3.0,ChIJrU6OrexZwokR8uGLGe4Be0Q
Upstate,40.7263446,-73.9865178,4.6,2.0,ChIJ-TjK0ZxZwokRY05GdFO1_RI
The Alcove Restaurant,40.745889,-73.9151262,4.8,,ChIJ0b9gfCBfwokRTfIxngqx190
Auntie Guan's Kitchen 108,40.737369,-73.997611,3.9,,ChIJXTJd1ZdZwokRaFE664a3QJ8
Father Knows Best,40.6901735,-73.9069755,4.2,,ChIJwZHjAzxcwokROh4zFWUlWlE
Two Hands Restaurant & Bar,40.7177931,-74.0054175,4.5,1.0,ChIJ256pFiBawokR-JFcFPAz7Ig
Covina,40.7422553,-73.9834482,,3.0,ChIJsxlBe6dZwokRH8iHpA9LPBo
Midwinter Kitchen,40.7354667,-73.98313,4.8,,ChIJYRiXqgpZwokRTD7-XXgHSqo
Topaz Noodle Bar,40.7644312,-73.9789786,,,ChIJQ5Go2PlYwokRQKyXC-JHDhk
Kichin,40.7085594,-73.9579173,4.8,,ChIJFZNo6-BbwokRGH6QhWQtF1E
Under The Bridge,40.75964,-73.9623098,,,ChIJEz2TqudYwokRony5hk_P4bA
Amelie Wine Bar,40.7326753,-73.9976632,4.4,2.0,ChIJja0-KpdZwokRuOHSWneCBxE
The Iron Horse NYC,40.7081881,-74.0049795,4.1,1.0,ChIJKwU9OD1awokRQIUbiv9EgPM
Luke's Lobster,40.704516,-74.0109683,4.3,2.0,ChIJEdxJIBRawokRK4AqcCIkKbA
Traif,40.7105965,-73.9589457,4.4,3.0,ChIJveB2ceBbwokRlg4WCe7xoqM
The Cynical Schnauzer,40.6830634,-73.9656912,4.4,,ChIJpy5GqaRbwokRsuQzQSDbHvg
Momosan Ramen & Sake,40.7499261,-73.9774455,4.5,2.0,ChIJucFsVwFZwokRDgJNUSyXpQE
L.E.S Kitchen,40.715178,-73.9900949,4.1,,ChIJAU5flClawokRkHPpKtkThBw
Hudson Eats,40.7128921,-74.015701,4.5,2.0,ChIJfz_DABtawokRenTAxMoEjdI
Burger & Lobster,40.740156,-73.993366,4.6,2.0,ChIJI_roPaNZwokRfwq8_je3mZg
CUPER,40.7040695,-73.9869653,4.2,,ChIJVVjfNzJawokROTYIPIMy7l8
The Dead Rabbit Grocery and Grog,40.7033,-74.011034,4.5,3.0,ChIJIRiJaRRawokR2KyQ984qa-o
Breakroom Burgers & Tacos,40.716585,-73.9996475,4.3,,ChIJAY1jOCdawokRmDGtrleRmys
Fish Market,40.7071693,-74.0019226,4.2,2.0,ChIJ4_EelTxawokRIrVex08F1xQ
Dinnertable,40.7294269,-73.9807021,,3.0,ChIJBQ02ZXZZwokR_vObjzM4FSY
The Greek,40.7237043,-74.009676,4.2,2.0,ChIJf4befPRZwokRH2WqZhtiGuo
The Hamilton,40.8027674,-73.9644004,4.3,,ChIJcQDwuzz2wokR1N2euVBPAjM
Benson's NYC,40.7219684,-73.9866613,4.8,,ChIJx8eryINZwokRRjFbQFqzpxg
The Good Fork,40.6759592,-74.0142781,4.4,2.0,ChIJqdPcMIlawokRnjb0RFy_o7s
District Social,40.753642,-73.991491,4.8,,ChIJr5IvVKxZwokRoWuJn_7VBG4
Joe's Shanghai,40.714655,-73.9977528,4.0,2.0,ChIJ7WQY-CZawokRf994dcNzViM
La Contenta ~ Cocina del Barrio,40.7187334,-73.9869392,4.8,2.0,ChIJdZGxHYFZwokRj85WGKuKF2k
La Cigogne,40.6835,-73.9992964,4.6,2.0,ChIJJ13o4FtawokR6Nk-NchRJIM
Jane,40.7273813,-74.0002463,3.9,2.0,ChIJX4zeCI5ZwokRePXXoFv-AXY
Excuse My French,40.7184584,-73.9898583,4.8,,ChIJu5bcJIdZwokRTDziDx5WAAA
Fresh Salt,40.707086,-74.002481,4.4,2.0,ChIJN8ko6jxawokRh4mOVeF82dg
Mighty Bowl,40.7297998,-74.0003609,4.6,,ChIJ1ZcihpFZwokReWLhAob2PNM
No5,40.75446,-73.924533,,,ChIJ_4ZFgS9fwokROItCpWC4NKU
