,Name,Lat,Long,counts,burs,grid,percent,Name_Yelp,url
24,verboten,40.7219603,-73.9589984,2198.0,Brooklyn,"(239, 195)",0.769877408056,Verboten,http://www.yelp.com/biz/verboten-williamsburg?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
25,output night club,40.7222918,-73.9578302,2855.0,Brooklyn,"(240, 195)",1.0,Output,http://www.yelp.com/biz/output-brooklyn?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
26,stage 48,40.7607442,-74.002077,25.0,Manhattan,"(205, 225)",0.00163291966035,Stage 48,http://www.yelp.com/biz/stage-48-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
27,haus ,40.7127837,-74.0059413,132.0,Manhattan,"(202, 187)",0.00862181580666,Haus,http://www.yelp.com/biz/haus-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
28,cliff lounge,40.8609016,-73.9203033,133.0,Manhattan,"(270, 305)",0.00868713259308,Cliff New York,http://www.yelp.com/biz/cliff-new-york-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
29,opus lounge,40.8610637,-73.9200622,133.0,Manhattan,"(270, 305)",0.00868713259308,Opus Lounge,http://www.yelp.com/biz/opus-lounge-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
30,tette,40.8653734,-73.9188808,146.0,Manhattan,"(271, 309)",0.00953625081646,Tette Club,http://www.yelp.com/biz/tette-club-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
31,el tina,40.8644034,-73.9193296,180.0,Manhattan,"(271, 308)",0.0117570215545,El Nuevo Tina,http://www.yelp.com/biz/el-nuevo-tina-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
32,caña y cafe,40.866434,-73.9200343,196.0,Manhattan,"(270, 310)",0.0128020901372,Caña y Cafe,http://www.yelp.com/biz/ca%C3%B1a-y-cafe-new-york-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
33,the varick room,40.7215904,-74.0062847,232.0,Manhattan,"(201, 194)",0.0151534944481,The Varick Room,http://www.yelp.com/biz/the-varick-room-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
34,phuket lounge,40.8216314,-73.9578775,323.0,Manhattan,"(240, 274)",0.0210973220118,Phuket Lounge,http://www.yelp.com/biz/phuket-lounge-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
35,the 40/40 club,40.743112,-73.9897047,363.0,Manhattan,"(214, 211)",0.0237099934683,40/40 Club,http://www.yelp.com/biz/40-40-club-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
36,tequila bar & grill ,40.8567915,-73.9322943,497.0,Manhattan,"(260, 302)",0.0324624428478,Tequila Mexican Bar and Grill,http://www.yelp.com/biz/tequila-mexican-bar-and-grill-new-york-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
37,whiskey tavern,40.716464,-73.999687,541.0,Manhattan,"(206, 190)",0.03533638145,Whiskey Tavern,http://www.yelp.com/biz/whiskey-tavern-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
38,the poet's den,40.7917809,-73.9406605,630.0,Manhattan,"(254, 250)",0.0411495754409,Poet's Den Gallery and Theater,http://www.yelp.com/biz/poets-den-gallery-and-theater-manhattan?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
39,tagine,40.7539608,-73.9892709,649.0,Manhattan,"(215, 220)",0.0423905943828,Tagine Fine Moroccan Cuisine,http://www.yelp.com/biz/tagine-fine-moroccan-cuisine-new-york-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
40,the grain,40.7388802,-73.9901505,671.0,Manhattan,"(214, 208)",0.0438275636839,The Grain,http://www.yelp.com/biz/the-grain-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
41,copper & oak,40.721061,-73.989862,712.0,Manhattan,"(214, 194)",0.0465055519268,Copper & Oak,http://www.yelp.com/biz/copper-and-oak-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
42,johnny utah's,40.759995,-73.9781529,804.0,Manhattan,"(224, 225)",0.0525146962769,Johnny Utah's,http://www.yelp.com/biz/johnny-utahs-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
43,809 nyc,40.8619884,-73.9253118,812.0,Manhattan,"(266, 306)",0.0530372305683,809 Sangria Bar & Grill,http://www.yelp.com/biz/809-sangria-bar-and-grill-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
44,the leonora,40.7521981,-74.0026411,833.0,Manhattan,"(204, 219)",0.054408883083,The Leonora,http://www.yelp.com/biz/the-leonora-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
45,the cutting room,40.7458466,-73.9829266,1096.0,Manhattan,"(220, 214)",0.0715871979099,The Cutting Room,http://www.yelp.com/biz/the-cutting-room-new-york-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
46,raines law room,40.738693,-73.994621,1186.0,Manhattan,"(211, 208)",0.0774657086871,Raines Law Room,http://www.yelp.com/biz/raines-law-room-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
47,club cache nyc,40.751896,-73.9836137,1249.0,Manhattan,"(219, 218)",0.0815806662312,Club Cache,http://www.yelp.com/biz/club-cache-new-york-4?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
48,rosewood,40.7390814,-73.9913896,1357.0,Manhattan,"(213, 208)",0.0886348791639,Rosewood Nightclub,http://www.yelp.com/biz/rosewood-nightclub-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
49,highline ballroom,40.7431163,-74.0058046,1458.0,Manhattan,"(202, 211)",0.0952318745918,Highline Ballroom,http://www.yelp.com/biz/highline-ballroom-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
50,the tippler,40.7423540864,-74.0063398693,1560.0,Manhattan,"(201, 211)",0.101894186806,The Tippler,http://www.yelp.com/biz/the-tippler-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
51,parkview lounge,40.76844,-73.98273,1588.0,Manhattan,"(220, 232)",0.103723056826,Parkview Lounge,http://www.yelp.com/biz/parkview-lounge-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
52,cibar,40.735958,-73.986961,1591.0,Manhattan,"(217, 206)",0.103919007185,Cibar,http://www.yelp.com/biz/cibar-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
53,room 1705,40.778568,-73.948554,1605.0,Manhattan,"(247, 240)",0.104833442195,Room 1705,http://www.yelp.com/biz/room-1705-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
54,the summit bar,40.72503,-73.9784584,1718.0,Manhattan,"(223, 197)",0.112214239059,The Summit Bar,http://www.yelp.com/biz/the-summit-bar-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
55,jolies nyc,40.724926,-73.978545,1718.0,Manhattan,"(223, 197)",0.112214239059,Jolie's NYC,http://www.yelp.com/biz/jolies-nyc-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
56,public house,40.750368,-73.9761481,1766.0,Manhattan,"(225, 217)",0.115349444807,Public House,http://www.yelp.com/biz/public-house-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
57,finale,40.721138,-73.993373,1799.0,Manhattan,"(212, 194)",0.117504898759,Finale,http://www.yelp.com/biz/finale-new-york-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
58,katra,40.7217003,-73.9931375,1799.0,Manhattan,"(212, 194)",0.117504898759,Katra,http://www.yelp.com/biz/katra-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
59,negro claro,40.7398268,-74.0094322,1834.0,Manhattan,"(199, 209)",0.119790986283,Negro Claro Lounge,http://www.yelp.com/biz/negro-claro-lounge-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
60,5th & mad,40.7496015,-73.9829744,1836.0,Manhattan,"(220, 217)",0.119921619856,5th & Mad,http://www.yelp.com/biz/5th-and-mad-new-york-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
61,cellar bar,40.7528128,-73.983765,1839.0,Manhattan,"(219, 219)",0.120117570216,Cellar Bar,http://www.yelp.com/biz/cellar-bar-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
62,subject,40.721537,-73.984779,1895.0,Manhattan,"(218, 194)",0.123775310255,Subject,http://www.yelp.com/biz/subject-new-york-4?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
63,sono nyc,40.7329256,-73.9984186,1905.0,Manhattan,"(208, 203)",0.124428478119,SONO NYC,http://www.yelp.com/biz/sono-nyc-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
64,motivo,40.739751,-73.9898869,1908.0,Manhattan,"(214, 209)",0.124624428478,Motivo,http://www.yelp.com/biz/motivo-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
65,le reve lounge nyc,40.7595374,-73.9712573,1913.0,Manhattan,"(229, 224)",0.12495101241,Le Reve,http://www.yelp.com/biz/le-reve-new-york-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
66,48 lounge,40.759377,-73.982094,1971.0,Manhattan,"(221, 224)",0.128739386022,48 Lounge,http://www.yelp.com/biz/48-lounge-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
67,howl at the moon,40.762905,-73.984268,2000.0,Manhattan,"(219, 227)",0.130633572828,Howl At the Moon,http://www.yelp.com/biz/howl-at-the-moon-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
68,dancesport ,40.7489371,-73.9864332,2138.0,Manhattan,"(217, 216)",0.139647289353,Paul Pellicoro's DanceSport,http://www.yelp.com/biz/paul-pellicoros-dancesport-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
69,cantina rooftop,40.765076,-73.995986,2248.0,Manhattan,"(209, 229)",0.146832135859,Cantina Rooftop,http://www.yelp.com/biz/cantina-rooftop-new-york-6?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
70,van diemen's,40.7415213,-73.9808354,2254.0,Manhattan,"(222, 210)",0.147224036577,Van Diemen's Bar + Kitchen,http://www.yelp.com/biz/van-diemens-bar-kitchen-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
71,birthday bottle service,40.74727,-73.9800645,2277.0,Manhattan,"(222, 215)",0.148726322665,Birthday Bottle Service,http://www.yelp.com/biz/birthday-bottle-service-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
72,gramercy theater,40.7398869,-73.98494,2327.0,Manhattan,"(218, 209)",0.151992161986,Gramercy Theatre,http://www.yelp.com/biz/gramercy-theatre-new-york-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
73,ward iii,40.7157247,-74.0087103,2340.0,Manhattan,"(199, 190)",0.152841280209,Ward III,http://www.yelp.com/biz/ward-iii-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
74,riff raffs ,40.7421039,-73.9855768,2393.0,Manhattan,"(218, 211)",0.156303069889,Riff Raff's,http://www.yelp.com/biz/riff-raffs-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
75,suite 36,40.749968,-73.9848,2523.0,Manhattan,"(218, 217)",0.164794252123,Suite 36,http://www.yelp.com/biz/suite-36-new-york-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
76,stellannyc,40.7491072,-73.9845832,2615.0,Manhattan,"(219, 216)",0.170803396473,stellannyc,
77,st. cloud rooftop,40.7555831,-73.9862701,2627.0,Manhattan,"(217, 221)",0.17158719791,St. Cloud,http://www.yelp.com/biz/st-cloud-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
