,Name,Lat,Long,counts,burs,grid,percent,Name_Yelp,url
107,iron horse nyc,40.708137,-74.004943,4371.0,Manhattan,"(202, 183)",0.285499673416,Iron Horse NYC,http://www.yelp.com/biz/iron-horse-nyc-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
108,stage karaoke & lounge,40.747882,-73.986656,4397.0,Manhattan,"(217, 215)",0.287197909863,Stage Karaoke & Lounge,http://www.yelp.com/biz/stage-karaoke-and-lounge-new-york-4?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
109,lust,40.7597195,-73.9857847,4531.0,Manhattan,"(218, 225)",0.295950359242,Club Lust,http://www.yelp.com/biz/club-lust-brooklyn?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
110,empire rooftop,40.7713415,-73.9827135,4765.0,Manhattan,"(220, 234)",0.311234487263,Empire Hotel Rooftop,http://www.yelp.com/biz/empire-hotel-rooftop-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
111,sky room,40.7564458,-73.9924914,4767.0,Manhattan,"(212, 222)",0.311365120836,Sky Room,http://www.yelp.com/biz/sky-room-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
112,visana,40.73425,-73.98069,4852.0,Manhattan,"(222, 204)",0.316917047681,Visana,http://www.yelp.com/biz/visana-new-york-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
113,la nuit,40.7616011,-73.9601846,5028.0,Manhattan,"(238, 226)",0.32841280209,La Nuit,http://www.yelp.com/biz/la-nuit-new-york-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
114,hudson terrace,40.7640472,-73.9975615,5050.0,Manhattan,"(208, 228)",0.329849771391,Hudson Terrace,http://www.yelp.com/biz/hudson-terrace-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
115,il bastardo,40.7429175,-73.9961927,5464.0,Manhattan,"(209, 211)",0.356890920967,IL Bastardo,http://www.yelp.com/biz/il-bastardo-new-york-4?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
116,ava rooftop lounge,40.7644231,-73.9819603,5520.0,Manhattan,"(221, 228)",0.360548661006,Ava Lounge,http://www.yelp.com/biz/ava-lounge-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
117,yotel,40.7591568,-73.9954561,5547.0,Manhattan,"(210, 224)",0.362312214239,YOTEL New York,http://www.yelp.com/biz/yotel-new-york-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
118,wicked willy's,40.7284254,-73.9992499,5832.0,Manhattan,"(207, 200)",0.380927498367,Wicked Willy's,http://www.yelp.com/biz/wicked-willys-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
119,international bar,40.7270798947,-73.9854097366,6351.0,Manhattan,"(218, 199)",0.414826910516,International Bar,http://www.yelp.com/biz/international-bar-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
120,turtle bay nyc,40.756423,-73.967798,6378.0,Manhattan,"(232, 222)",0.416590463749,Turtle Bay,http://www.yelp.com/biz/turtle-bay-new-york-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
121,cielo,40.7397342,-74.0070218,6467.0,Manhattan,"(201, 209)",0.42240365774,Cielo,http://www.yelp.com/biz/cielo-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
122,opus 51,40.7395274,-74.0069051,6467.0,Manhattan,"(201, 209)",0.42240365774,OPUS 51,http://www.yelp.com/biz/opus-51-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
123,tenjune,40.7398399,-74.0071747,6467.0,Manhattan,"(201, 209)",0.42240365774,Tenjune,http://www.yelp.com/biz/tenjune-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
124,vip room,40.7406909,-74.006444,6467.0,Manhattan,"(201, 209)",0.42240365774,VIP Room,http://www.yelp.com/biz/vip-room-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
125,the library,40.7226142883,-73.9863433838,6658.0,Manhattan,"(217, 195)",0.434879163945,The Library,http://www.yelp.com/biz/the-library-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
126,5 bar karaoke & lounge,40.747923052,-73.9873537461,6940.0,Manhattan,"(216, 215)",0.453298497714,5 Bar Karaoke & Lounge,http://www.yelp.com/biz/5-bar-karaoke-and-lounge-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
127,webster hall nyc,40.7317694,-73.9891064,7759.0,Manhattan,"(215, 202)",0.506792945787,Webster Hall,http://www.yelp.com/biz/webster-hall-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
128,attic rooftop & lounge,40.7610063,-73.986587,7922.0,Manhattan,"(217, 226)",0.517439581973,The Attic,http://www.yelp.com/biz/the-attic-new-york-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
129,gansevoort park rooftop,40.743899,-73.9841241,8572.0,Manhattan,"(219, 212)",0.559895493142,Gansevoort Park Rooftop,http://www.yelp.com/biz/gansevoort-park-rooftop-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
130,the village underground,40.730693567,-74.0009226385,8626.0,Manhattan,"(206, 201)",0.563422599608,The Village Underground,http://www.yelp.com/biz/the-village-underground-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
131,marquee nyc,40.7500963,-74.0028306,10070.0,Manhattan,"(204, 217)",0.65774003919,Marquee New York,http://www.yelp.com/biz/marquee-new-york-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
132,gilded lily,40.7417779,-74.005795,10245.0,Manhattan,"(202, 210)",0.669170476813,Gilded Lily,http://www.yelp.com/biz/gilded-lily-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
133,copacapana,40.760166,-73.9872589,11831.0,Manhattan,"(216, 225)",0.772762900065,Copacabana Steakhouse,http://www.yelp.com/biz/copacabana-steakhouse-port-chester?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
134,rooftop 760,40.7601189,-73.9872281,11831.0,Manhattan,"(216, 225)",0.772762900065,Rooftop 760,http://www.yelp.com/biz/rooftop-760-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
135,the 55 bar,40.73378,-74.00224,12031.0,Manhattan,"(204, 204)",0.785826257348,The 55 Bar,http://www.yelp.com/biz/the-55-bar-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
136,the duplex,40.7337855865,-74.0024324895,12031.0,Manhattan,"(204, 204)",0.785826257348,The Duplex,http://www.yelp.com/biz/the-duplex-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
137,dl rooftop,40.7185899,-73.9893704,12091.0,Manhattan,"(215, 192)",0.789745264533,The DL,http://www.yelp.com/biz/the-dl-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
138,hotel chantelle,40.7184061,-73.9889794,12091.0,Manhattan,"(215, 192)",0.789745264533,Hotel Chantelle,http://www.yelp.com/biz/hotel-chantelle-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
139,the whiskey ward,40.719657,-73.987915,12178.0,Manhattan,"(216, 193)",0.795427824951,The Whiskey Ward,http://www.yelp.com/biz/the-whiskey-ward-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
140,1oak,40.7440143,-74.0061409,13536.0,Manhattan,"(201, 212)",0.884128020901,1 OAK,http://www.yelp.com/biz/1-oak-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
141,plunge gansevoort,40.7398532,-74.0057335,15310.0,Manhattan,"(202, 209)",1.0,plunge Rooftop Bar + Lounge,http://www.yelp.com/biz/plunge-rooftop-bar-lounge-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
142,forest hills stadium,40.7195973,-73.8472947,1.0,Queens,"(328, 193)",0.000438596491228,Forest Hills Stadium,http://www.yelp.com/biz/forest-hills-stadium-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
143,vue sky lounge,40.6877242,-73.8209377,10.0,Queens,"(349, 167)",0.00438596491228,Rainbow Room,http://www.yelp.com/biz/rainbow-room-new-york-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
144,amazura,40.7001783,-73.8103899,12.0,Queens,"(358, 177)",0.00526315789474,Amazura,http://www.yelp.com/biz/amazura-jamaica?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
145,arena lounge,40.6991661,-73.8206122,17.0,Queens,"(349, 176)",0.00745614035088,Arena Lounge,http://www.yelp.com/biz/arena-lounge-richmond-hill?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
146,the rush lounge ,40.6871995,-73.8356324,18.0,Queens,"(337, 167)",0.00789473684211,Raines Law Room,http://www.yelp.com/biz/raines-law-room-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
147,glazz,40.7340358,-73.8729918,22.0,Queens,"(308, 204)",0.00964912280702,Glazz  Nightclub,http://www.yelp.com/biz/glazz-nightclub-elmhurst?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
148,amadeus nightclub ,40.7395313,-73.8843542,35.0,Queens,"(299, 209)",0.015350877193,Amadeus,http://www.yelp.com/biz/amadeus-elmhurst?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
149,play lounge,40.7389305,-73.8864951,84.0,Queens,"(297, 208)",0.0368421052632,Play Lounge,http://www.yelp.com/biz/play-lounge-elmhurst?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
150,allure,40.7444818,-73.9315387,133.0,Queens,"(261, 212)",0.0583333333333,Allure,http://www.yelp.com/biz/allure-long-island-city-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
151,baroque astoria ,40.7773219,-73.9006382,135.0,Queens,"(286, 239)",0.0592105263158,Baroque,http://www.yelp.com/biz/baroque-queens?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
152,mamajuana cafe,40.7528063,-73.9048237,188.0,Queens,"(282, 219)",0.0824561403509,Mamajuana Cafe Queens,http://www.yelp.com/biz/mamajuana-cafe-queens-woodside-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
153,vista sky lounge,40.7543462,-73.9355318,327.0,Queens,"(258, 220)",0.143421052632,Vista Sky Lounge & Catering,http://www.yelp.com/biz/vista-sky-lounge-and-catering-long-island-city?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
154,la gloria,40.756141,-73.881166,338.0,Queens,"(301, 222)",0.148245614035,La Gloria,http://www.yelp.com/biz/la-gloria-jackson-heights?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
155,coco bongo nyc,40.7529084,-73.9236203,352.0,Queens,"(267, 219)",0.154385964912,Coco Bongo New York,http://www.yelp.com/biz/coco-bongo-new-york-long-island-city-3?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
156,penthouse 808,40.7537901,-73.9494354,498.0,Queens,"(247, 220)",0.218421052632,Penthouse 808,http://www.yelp.com/biz/penthouse-808-long-island-city-4?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
157,purlieu astoria queens nyc,40.7554108,-73.9277274,542.0,Queens,"(264, 221)",0.237719298246,purlieu astoria queens nyc,
158,la boom,40.753828,-73.90443,569.0,Queens,"(283, 220)",0.249561403509,La Boom,http://www.yelp.com/biz/la-boom-woodside-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
159,sl lounge,40.7486794,-73.869867,679.0,Queens,"(310, 216)",0.297807017544,SL,http://www.yelp.com/biz/sl-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
160,cavo,40.7628909,-73.9204532,845.0,Queens,"(270, 227)",0.370614035088,Cavo,http://www.yelp.com/biz/cavo-astoria?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
161,palladium,40.7561454,-73.9301468,1126.0,Queens,"(262, 222)",0.493859649123,Palladium Athletic Facility,http://www.yelp.com/biz/palladium-athletic-facility-new-york?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
162,bungalo,40.7616589,-73.9242411,2280.0,Queens,"(267, 226)",1.0,Bungalo Bar Astoria,http://www.yelp.com/biz/bungalo-bar-astoria-astoria?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=3jffArKDsaePUgv38n-BTg
